Pair,Switch,SelfAccB1,PartnerAccB1,StrangerAccB1,SelfMisAccB1,PartnerMisAccB1,StrangerMisAccB1,SelfAccB2,PartnerAccB2,StrangerAccB2,SelfMisAccB2,PartnerMisAccB2,StrangerMisAccB2
,,0.912684708,0.8153866,0.782421982,0.807129455,0.866570666,0.835255603,0.894051632,0.825430569,0.81295289,0.847410047,0.874243858,0.876897771
,,0.074001781,0.119834637,0.168880183,0.103027942,0.101977544,0.132822664,0.131853764,0.13631316,0.158758182,0.106121953,0.088771368,0.083549862
,,,,,,,,,,,,,
,,91.27,81.54,78.24,80.71,86.66,83.53,89.41,82.54,81.3,84.74,87.42,87.69
,,7.4,11.98,16.89,10.3,10.2,13.28,13.19,13.63,15.88,10.61,8.88,8.35
,,SelfAccB1,PartnerAccB1,StrangerAccB1,SelfMisAccB1,PartnerMisAccB1,StrangerMisAccB1,,,,,,
,,91.27,81.54,78.24,80.71,86.66,83.53,,,,,,
,,7.4,11.98,16.89,10.3,10.2,13.28,,,,,,
,,SelfAccB2,PartnerAccB2,StrangerAccB2,SelfMisAccB2,PartnerMisAccB2,StrangerMisAccB2,,,,,,
,,89.41,82.54,81.3,84.74,87.42,87.69,,,,,,
,,13.19,13.63,15.88,10.61,8.88,8.35,,,,,,
